,HHID,Subward,Droughts,Floods,Groundwater,Heat,Pests,Frost,Hail
363,2610068,2610,1.0,0.0,1.0,1.0,1.0,1.0,0.0
364,2610070,2610,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
365,2610071,2610,1.0,1.0,1.0,1.0,0.0,0.0,0.0
366,2610072,2610,1.0,1.0,1.0,-1.0,1.0,1.0,0.0
367,2610073,2610,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
368,2610074,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
369,2610075,2610,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
370,2610076,2610,1.0,1.0,0.0,-1.0,1.0,1.0,-1.0
371,2610077,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
372,2610078,2610,0.0,1.0,0.0,0.0,1.0,0.0,0.0
373,2610079,2610,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
374,2610081,2610,1.0,1.0,1.0,1.0,1.0,1.0,1.0
375,2610083,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
376,2610084,2610,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
377,2610085,2610,0.0,1.0,0.0,0.0,1.0,1.0,-1.0
378,2610086,2610,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
379,2610087,2610,1.0,1.0,1.0,0.0,1.0,-1.0,0.0
380,2610088,2610,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
381,2610090,2610,1.0,1.0,-1.0,0.0,1.0,1.0,1.0
382,2610091,2610,,1.0,1.0,1.0,1.0,1.0,1.0
383,2610092,2610,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
384,2610093,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
385,2610095,2610,1.0,1.0,1.0,1.0,1.0,1.0,0.0
386,2610100,2610,0.0,1.0,1.0,1.0,1.0,1.0,0.0
387,2610101,2610,0.0,1.0,0.0,1.0,1.0,1.0,-1.0
388,2610102,2610,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0
389,2610103,2610,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0
390,2610104,2610,1.0,0.0,0.0,0.0,1.0,0.0,0.0
391,2610105,2610,1.0,1.0,1.0,0.0,1.0,0.0,0.0
392,2610106,2610,1.0,1.0,1.0,-1.0,1.0,1.0,0.0
393,2610107,2610,1.0,1.0,0.0,1.0,1.0,1.0,1.0
394,2610108,2610,1.0,1.0,0.0,0.0,1.0,0.0,-1.0
395,2610109,2610,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
396,2610111,2610,1.0,1.0,-1.0,0.0,1.0,0.0,-1.0
397,2610118,2610,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
398,2610119,2610,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0
399,2610123,2610,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0
400,2610124,2610,1.0,1.0,1.0,-1.0,1.0,0.0,-1.0
401,2611001,2611,1.0,1.0,0.0,1.0,1.0,0.0,-1.0
402,2611002,2611,-1.0,1.0,0.0,1.0,1.0,1.0,1.0
403,2611003,2611,0.0,1.0,0.0,1.0,1.0,0.0,0.0
404,2611004,2611,0.0,1.0,0.0,0.0,1.0,-1.0,0.0
405,2611005,2611,0.0,1.0,0.0,0.0,1.0,-1.0,-1.0
406,2611006,2611,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0
407,2611007,2611,-1.0,-1.0,0.0,1.0,1.0,1.0,0.0
408,2611008,2611,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0
409,2611009,2611,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0
410,2611010,2611,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
411,2611011,2611,1.0,1.0,0.0,0.0,1.0,1.0,-1.0
412,2611012,2611,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0
413,2611013,2611,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0
414,2611014,2611,0.0,1.0,0.0,0.0,0.0,0.0,0.0
415,2611015,2611,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
416,2611016,2611,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0
417,2611017,2611,-1.0,-1.0,0.0,-1.0,1.0,1.0,0.0
418,2611018,2611,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
419,2611019,2611,0.0,1.0,1.0,0.0,1.0,-1.0,-1.0
420,2611020,2611,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
421,2611021,2611,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0
422,2611024,2611,1.0,1.0,1.0,0.0,1.0,-1.0,0.0
423,2611025,2611,0.0,1.0,-1.0,1.0,1.0,0.0,-1.0
424,2611026,2611,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0
425,2611027,2611,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
426,2611028,2611,1.0,0.0,0.0,1.0,1.0,1.0,-1.0
427,2611030,2611,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0
428,2611032,2611,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0
429,2611033,2611,-1.0,1.0,-1.0,1.0,1.0,0.0,1.0
430,2611034,2611,1.0,1.0,0.0,1.0,1.0,0.0,0.0
431,2611036,2611,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
432,2611037,2611,1.0,1.0,0.0,1.0,1.0,1.0,1.0
433,2611038,2611,1.0,1.0,1.0,-1.0,1.0,1.0,0.0
434,2611039,2611,1.0,1.0,1.0,0.0,1.0,0.0,-1.0
435,2611040,2611,1.0,1.0,0.0,1.0,1.0,1.0,1.0
436,2611041,2611,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
437,2611042,2611,1.0,1.0,0.0,0.0,1.0,0.0,0.0
438,2611044,2611,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0
439,2611045,2611,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
440,2611046,2611,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0
441,2611049,2611,1.0,1.0,1.0,1.0,1.0,1.0,0.0
442,2611051,2611,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
443,2611052,2611,1.0,1.0,1.0,0.0,1.0,1.0,1.0
444,2611053,2611,1.0,1.0,1.0,1.0,1.0,1.0,1.0
445,2611054,2611,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0
446,2611056,2611,0.0,1.0,0.0,0.0,1.0,1.0,0.0
447,2611058,2611,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0
448,2611060,2611,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
449,2611061,2611,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
450,2611062,2611,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0
451,2611063,2611,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0
452,2611064,2611,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
453,2611065,2611,1.0,1.0,1.0,1.0,0.0,1.0,0.0
454,2611067,2611,-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0
455,2611068,2611,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
456,2611069,2611,0.0,1.0,0.0,1.0,1.0,1.0,1.0
457,2611070,2611,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458,2611071,2611,1.0,1.0,1.0,0.0,1.0,1.0,-1.0
459,2611072,2611,0.0,1.0,0.0,0.0,1.0,0.0,0.0
460,2611073,2611,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
461,2611074,2611,-1.0,1.0,1.0,0.0,1.0,0.0,1.0
462,2611075,2611,-1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0
463,2611076,2611,-1.0,1.0,0.0,1.0,1.0,1.0,0.0
464,2611077,2611,1.0,1.0,1.0,-1.0,1.0,1.0,0.0
465,2611078,2611,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
466,2611080,2611,-1.0,1.0,0.0,1.0,0.0,-1.0,-1.0
467,2611081,2611,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0
468,2611083,2611,0.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
469,2611084,2611,-1.0,1.0,1.0,0.0,-1.0,-1.0,0.0
470,2611085,2611,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
471,2611086,2611,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0
472,2611087,2611,1.0,1.0,1.0,1.0,1.0,1.0,0.0
473,2611088,2611,1.0,1.0,1.0,1.0,1.0,1.0,1.0
474,2611089,2611,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
475,2611090,2611,0.0,1.0,1.0,0.0,1.0,-1.0,0.0
476,2611091,2611,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0
477,2611092,2611,0.0,1.0,0.0,1.0,1.0,1.0,-1.0
478,2611093,2611,-1.0,1.0,1.0,1.0,1.0,0.0,0.0
479,2611094,2611,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
480,2611095,2611,0.0,0.0,-1.0,-1.0,1.0,1.0,-1.0
481,2611096,2611,0.0,1.0,0.0,1.0,1.0,1.0,0.0
482,2611097,2611,1.0,1.0,1.0,1.0,1.0,0.0,-1.0
483,2611098,2611,-1.0,1.0,0.0,0.0,1.0,1.0,0.0
484,2611099,2611,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
485,2611100,2611,0.0,1.0,1.0,0.0,0.0,0.0,1.0
486,2611101,2611,1.0,1.0,-1.0,0.0,1.0,1.0,0.0
487,2611102,2611,1.0,0.0,1.0,1.0,1.0,1.0,0.0
488,2611103,2611,1.0,0.0,-1.0,0.0,1.0,1.0,0.0
489,2611104,2611,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0
490,2611105,2611,0.0,0.0,1.0,0.0,1.0,1.0,0.0
491,2611106,2611,1.0,-1.0,0.0,1.0,1.0,1.0,1.0
492,2611109,2611,1.0,0.0,0.0,1.0,0.0,1.0,1.0
493,2611110,2611,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
494,2611111,2611,0.0,1.0,1.0,-1.0,1.0,1.0,0.0
495,2611114,2611,1.0,0.0,-1.0,1.0,0.0,1.0,1.0
496,2611115,2611,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
497,2611117,2611,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0
498,2611118,2611,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
499,2611119,2611,0.0,1.0,0.0,0.0,1.0,0.0,0.0
